Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0053092,-6.6041E-17,0.018692,0,0,0,1000.782,0.080482,2.0627E-16,-0.0029975,0.062244,-3.5525E-17,0.13176,0,0,0,0,0,0,package://car2/meshes/base_link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://car2/meshes/base_link.STL,,底盘架子-1,坐标系1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
castwheel,-0.063618,0.0087179,-0.089187,0,0,0,8.9511,0.030635,8.6736E-19,0,0.030635,4.3368E-19,0.030635,0,0,0,0,0,0,package://car2/meshes/castwheel.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://car2/meshes/castwheel.STL,,全向轮-1,Origin_castwheel4,Axis_castwheel4,castwheel_joint,continuous,1.422E-05,0.00125,-0.0925,1.7999,-0.42435,-2.2705,base_link,0.57888,-0.079328,0.81154,,,,,,,,,,,,
leftwheel,6.245E-17,3.8164E-17,0.024994,0,0,0,9.4472,0.05564,2.1684E-18,3.8272E-17,0.05564,4.9148E-17,0.10734,0,0,0,0,0,0,package://car2/meshes/leftwheel.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://car2/meshes/leftwheel.STL,,轮子-2,Origin_leftwheel2,Axis_leftwheel_joint,leftwheel_joint,continuous,-0.055,0.20001,-0.035,-1.5708,-0.10501,0,base_link,0,0,1,,,,,,,,,,,,
rightwheel,-4.5103E-17,8.3267E-17,-0.024994,0,0,0,9.4472,0.05564,-5.2042E-18,2.2335E-17,0.05564,-2.5045E-17,0.10734,0,0,0,0,0,0,package://car2/meshes/rightwheel.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://car2/meshes/rightwheel.STL,,轮子-1,Origin_rightwheel4,Axis_rightwheel_joint,rightwheel_joint,continuous,-0.0549999999999977,-0.200006469136745,-0.035,-1.5707963267949,0.939281776145976,0,base_link,0,0,1,,,,,,,,,,,,
link1,-0.020977,-1.0815E-17,0.15,0,0,0,7.0138,0.07535,-5.8005E-18,-6.1527E-18,0.065314,5.722E-18,0.035458,0,0,0,0,0,0,package://car2/meshes/link1.STL,1,1,1,0.35,0,0,0,0,0,0,package://car2/meshes/link1.STL,,根部旋转关节-1,坐标系2,基准轴7,joint1,revolute,0,0,0.05,0,0,0,base_link,0,0,1,50,1.5,-3.14,3.14,,,,,,,,
link2,0.13517,-2.2714E-16,0,0,0,0,1.2926,0.0033047,-8.1315E-19,2.0289E-19,0.012724,-4.5666E-19,0.012724,0,0,0,0,0,0,package://car2/meshes/link2.STL,1,1,1,0.35,0,0,0,0,0,0,package://car2/meshes/link2.STL,,手臂1-1,坐标系20,基准轴7,joint2,prismatic,0,0,0.25,0,0,0,link1,0,0,1,10,1.5,-0.2,0,,,,,,,,
link3,-0.0942552370102731,-6.76542155630955E-17,2.22044604925031E-16,0,0,0,2.28787766720044,0.00274830854445484,-4.08608693755474E-18,1.73045038288303E-18,0.0226475881994451,-5.69070397270195E-18,0.022339682500004,0,0,0,0,0,0,package://car2/meshes/link3.STL,1,1,1,0.35,0,0,0,0,0,0,package://car2/meshes/link3.STL,,手臂2-1,坐标系19,基准轴3,joint3,prismatic,0.3,0,0,0,0,0,link2,-1,0,0,10,1.5,0,0.26,,,,,,,,
link4,0.076653,-1.0929E-16,-5.5511E-17,0,0,0,2.5617,0.0037141,5.421E-20,-3.2609E-19,0.023523,3.0633E-19,0.022599,0,0,0,0,0,0,package://car2/meshes/link4.STL,1,1,1,0.35,0,0,0,0,0,0,package://car2/meshes/link4.STL,,关节+手臂3-1,坐标系21,基准轴4,joint4,revolute,0.1216,0,0,0,0,0,link3,0,1,0,50,1.5,-1.57,1.57,,,,,,,,
link5,0.023312,-2.6888E-17,5.5511E-17,0,0,0,1.7726,0.0086712,-4.3029E-19,-4.9659E-19,0.0047611,-1.3921E-06,0.0050018,0,0,0,0,0,0,package://car2/meshes/link5.STL,1,1,1,0.35,0,0,0,0,0,0,package://car2/meshes/link5.STL,,末端关节-1,坐标系22,基准轴5,joint5,revolute,0.25745,0,0,0,0,0,link4,1,0,0,50,1.5,-3.14,3.14,,,,,,,,
finger1,0.0431914558074192,0.00222291741094893,1.66533453693773E-16,0,0,0,0.0976142957842524,3.3639206496037E-05,-1.20897051606813E-05,7.59655791198793E-20,0.000119799305634777,3.45196492914701E-20,0.000112765888887376,0,0,0,0,0,0,package://car2/meshes/finger1.STL,1,1,1,0.35,0,0,0,0,0,0,package://car2/meshes/finger1.STL,,手指-1,坐标系23,基准轴6,fin1,prismatic,0.05,-0.076716,-0.00044365,0.0057829,0,0,link5,0,-0.99998,0.0057829,30,1,0,0.05,,,,,,,,
